Result,EntryTime,ExitTime,OrderType,EntryPrice,ExitPrice,StopLoss,TakeProfit,LotSize,RiskReward
LOSS,24-05-08 23:00,24-05-08 23:15,SELL,1.0743,1.0745,1.0745,1.0739,1.31,2.5
LOSS,24-05-08 23:45,24-05-09 03:00,BUY,1.0748,1.0745,1.0745,1.0755,0.7,2.5
WIN,24-05-09 03:45,24-05-09 04:00,SELL,1.0745,1.0744,1.0745,1.0744,6.79,2.5
LOSS,24-05-09 05:00,24-05-09 05:15,SELL,1.0745,1.0745,1.0745,1.0744,4.86,2.5
LOSS,24-05-09 05:45,24-05-09 07:45,BUY,1.0747,1.0745,1.0745,1.0751,1.22,2.5
WIN,24-05-09 08:30,24-05-09 10:30,SELL,1.0742,1.0735,1.0746,1.0735,0.64,2.5
WIN,24-05-09 16:15,24-05-14 16:00,BUY,1.0761,1.0813,1.074,1.0813,0.1,2.5
WIN,24-05-16 11:30,24-05-16 16:30,SELL,1.0871,1.0856,1.0878,1.0856,0.32,2.5
LOSS,24-05-17 17:45,24-05-21 05:00,BUY,1.0876,1.0853,1.0853,1.0935,0.09,2.5
LOSS,24-05-21 10:30,24-05-21 11:15,BUY,1.0866,1.0859,1.0859,1.0883,0.29,2.5
WIN,24-05-21 16:15,24-05-21 16:30,SELL,1.086,1.0855,1.0862,1.0855,1.03,2.5
LOSS,24-05-22 04:45,24-05-22 06:15,BUY,1.0861,1.0856,1.0856,1.0873,0.42,2.5
LOSS,24-05-22 07:00,24-05-22 09:00,SELL,1.0853,1.0856,1.0856,1.0844,0.58,2.5
LOSS,24-05-22 09:45,24-05-22 10:00,BUY,1.0863,1.0856,1.0856,1.0879,0.3,2.5
LOSS,24-05-23 11:15,24-05-23 16:45,BUY,1.0843,1.0828,1.0828,1.0879,0.14,2.5
WIN,24-05-23 18:45,24-05-23 21:30,SELL,1.0828,1.0806,1.0836,1.0806,0.23,2.5
WIN,24-05-24 11:00,24-05-24 13:15,BUY,1.082,1.0837,1.0814,1.0837,0.31,2.5
WIN,24-05-28 20:45,24-05-29 11:00,SELL,1.0864,1.0841,1.0873,1.0841,0.23,2.5
WIN,24-05-30 12:15,24-05-31 14:00,BUY,1.0818,1.0853,1.0803,1.0853,0.14,2.5
LOSS,24-06-03 10:45,24-06-03 16:15,SELL,1.0839,1.085,1.085,1.0811,0.18,2.5
LOSS,24-06-03 17:00,24-06-07 15:30,BUY,1.0881,1.0846,1.0846,1.0968,0.06,2.5
LOSS,24-06-10 22:15,24-06-11 11:45,BUY,1.0763,1.0755,1.0755,1.0783,0.25,2.5
WIN,24-06-12 09:00,24-06-12 09:15,BUY,1.074,1.0742,1.074,1.0742,3.1,2.5
LOSS,24-06-13 07:45,24-06-13 10:00,SELL,1.0803,1.0807,1.0807,1.0792,0.47,2.5
LOSS,24-06-13 10:45,24-06-13 11:30,BUY,1.0812,1.0807,1.0807,1.0825,0.39,2.5
LOSS,24-06-13 12:45,24-06-13 13:15,SELL,1.0801,1.0807,1.0807,1.0787,0.36,2.5
